SURVEY: DES   
SNID:   112684   
IAUC:    UNKNOWN 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_SPEC:    -9.0000 +-  9.0000  
 


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 93 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56219.211  i NULL   8.722e+00   3.000e+00  
OBS:  56221.148  g NULL   5.392e+00   1.593e+01  
OBS:  56221.160  r NULL   1.197e+01   6.068e+00  
OBS:  56221.176  z NULL   4.713e+01   1.542e+01  
OBS:  56222.105  i NULL   3.461e+01   9.222e+00  
OBS:  56222.312  g NULL   1.159e+01   4.137e+00  
OBS:  56222.324  r NULL   2.102e+01   1.519e+01  
OBS:  56222.340  z NULL   7.738e+01   4.089e+01  
OBS:  56228.297  g NULL   6.792e+01   1.511e+01  
OBS:  56228.305  r NULL   7.739e+01   5.710e+00  
OBS:  56228.312  i NULL   6.724e+01   9.511e+00  
OBS:  56228.320  z NULL   6.180e+01   5.924e+00  
OBS:  56229.320  g NULL   3.617e+01   1.410e+01  
OBS:  56229.332  r NULL   8.520e+01   7.451e+00  
OBS:  56229.348  i NULL   6.736e+01   1.302e+01  
OBS:  56230.070  z NULL   8.813e+01   7.330e+00  
OBS:  56230.316  g NULL   4.560e+01   1.374e+01  
OBS:  56230.328  r NULL   9.751e+01   6.948e+00  
OBS:  56230.344  i NULL   1.078e+02   1.257e+01  
OBS:  56231.301  g NULL   4.008e+01   1.173e+01  
OBS:  56231.316  r NULL   1.082e+02   6.388e+00  
OBS:  56231.328  i NULL   1.022e+02   1.066e+01  
OBS:  56231.344  z NULL   8.765e+01   6.030e+00  
OBS:  56235.297  g NULL   5.886e+01   9.770e+00  
OBS:  56235.312  r NULL   1.407e+02   5.409e+00  
OBS:  56235.324  i NULL   1.461e+02   7.215e+00  
OBS:  56235.340  z NULL   1.099e+02   7.068e+00  
OBS:  56236.312  g NULL   5.332e+01   7.959e+00  
OBS:  56236.324  r NULL   1.356e+02   4.575e+00  
OBS:  56236.340  i NULL   1.373e+02   6.641e+00  
OBS:  56237.074  z NULL   1.153e+02   7.347e+00  
OBS:  56237.340  g NULL   7.837e+01   1.201e+01  
OBS:  56238.051  r NULL   1.448e+02   5.153e+00  
OBS:  56238.059  i NULL   1.437e+02   6.138e+00  
OBS:  56238.340  g NULL   7.699e+01   1.083e+01  
OBS:  56243.047  z NULL   1.240e+02   8.654e+00  
OBS:  56243.320  g NULL   5.977e+01   4.462e+00  
OBS:  56243.336  r NULL   1.458e+02   4.354e+00  
OBS:  56244.039  i NULL   1.566e+02   7.657e+00  
OBS:  56244.309  g NULL   5.351e+01   4.361e+00  
OBS:  56244.320  r NULL   1.469e+02   4.308e+00  
OBS:  56245.047  z NULL   1.260e+02   5.552e+00  
OBS:  56245.320  g NULL   4.377e+01   4.467e+00  
OBS:  56246.055  r NULL   1.420e+02   3.652e+00  
OBS:  56246.070  i NULL   1.608e+02   4.972e+00  
