SURVEY: DES   
SNID:   132345   
IAUC:    UNKNOWN 
SNTYPE:  1 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_SPEC:     0.4497 +-  0.0050  
 


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 16 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56328.047  g NULL   3.670e-01   3.355e+00  
OBS:  56328.055  r NULL   4.925e+00   2.413e+00  
OBS:  56328.070  i NULL   1.337e+01   4.056e+00  
OBS:  56328.086  z NULL   1.110e+01   6.786e+00  
OBS:  56336.062  g NULL   3.253e+00   3.730e+00  
OBS:  56336.082  r NULL   4.215e+01   3.142e+00  
OBS:  56337.062  i NULL   4.018e+01   3.048e+00  
OBS:  56337.078  z NULL   5.007e+01   3.872e+00  
OBS:  56345.039  g NULL   3.663e+01   7.212e+00  
OBS:  56345.055  r NULL   1.046e+02   4.303e+00  
OBS:  56346.055  i NULL   7.962e+01   6.196e+00  
OBS:  56348.027  z NULL   9.137e+01   5.320e+00  
OBS:  56350.023  g NULL   1.724e+01   6.876e+00  
OBS:  56350.027  r NULL   1.102e+02   4.505e+00  
OBS:  56350.035  i NULL   9.380e+01   6.936e+00  
OBS:  56351.023  z NULL   9.883e+01   6.383e+00  
