SURVEY: DES   
SNID:   164721   
IAUC:    UNKNOWN 
SNTYPE:  22 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
FAKE:    3   (=> BLIND-TEST simulation) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_SPEC:     0.2583 +-  0.0050  
 


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 81 
NVAR: 5 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   
OBS:  56171.051  g NULL   3.810e+01   7.809e+01  
OBS:  56172.039  r NULL   1.454e-01   1.758e+01  
OBS:  56172.051  i NULL   9.899e+00   4.995e+01  
OBS:  56176.160  z NULL   4.578e+00   3.584e+00  
OBS:  56179.023  g NULL   2.080e+01   6.422e+00  
OBS:  56179.031  r NULL   2.419e+01   4.368e+00  
OBS:  56179.047  i NULL   2.369e+01   7.163e+00  
OBS:  56179.062  z NULL   1.696e+01   8.146e+00  
OBS:  56180.031  g NULL   2.864e+01   5.757e+00  
OBS:  56180.047  r NULL   3.055e+01   4.545e+00  
OBS:  56180.062  i NULL   3.539e+01   6.781e+00  
OBS:  56180.078  z NULL   2.421e+01   1.018e+01  
OBS:  56188.004  g NULL   8.985e+01   6.058e+00  
OBS:  56188.016  r NULL   4.201e+01   4.461e+00  
OBS:  56188.027  i NULL   5.651e+01   6.566e+00  
OBS:  56188.035  z NULL   4.288e+01   6.526e+00  
OBS:  56189.004  g NULL   7.956e+01   5.971e+00  
OBS:  56189.016  r NULL   4.568e+01   4.436e+00  
OBS:  56189.027  i NULL   5.788e+01   6.515e+00  
OBS:  56189.035  z NULL   4.191e+01   6.459e+00  
OBS:  56194.012  g NULL   4.315e+01   6.338e+00  
OBS:  56194.016  r NULL   3.787e+01   3.688e+00  
OBS:  56194.023  i NULL   5.708e+01   6.268e+00  
OBS:  56194.031  z NULL   4.606e+01   1.512e+01  
OBS:  56198.992  g NULL   1.412e+01   1.870e+01  
OBS:  56199.000  r NULL   4.457e+01   9.096e+00  
OBS:  56199.008  i NULL   6.111e+01   1.187e+01  
OBS:  56199.016  z NULL   5.244e+01   7.762e+00  
OBS:  56199.039  g NULL   1.036e+02   3.356e+01  
OBS:  56208.215  g NULL   2.183e+01   2.746e+00  
OBS:  56208.223  r NULL   4.133e+01   1.972e+00  
OBS:  56208.238  i NULL   4.445e+01   3.098e+00  
OBS:  56209.160  z NULL   4.590e+01   3.365e+00  
OBS:  56216.215  g NULL   8.774e+00   2.505e+00  
OBS:  56216.223  r NULL   3.485e+01   2.033e+00  
OBS:  56216.230  i NULL   4.070e+01   3.135e+00  
OBS:  56218.152  z NULL   4.580e+01   2.819e+00  
OBS:  56221.004  g NULL  -2.220e+00   5.239e+00  
OBS:  56221.016  r NULL   4.403e+01   3.694e+00  
OBS:  56221.027  i NULL   3.582e+01   5.526e+00  
OBS:  56221.035  z NULL   3.962e+01   5.461e+00  
OBS:  56222.016  g NULL   1.044e+01   6.256e+00  
OBS:  56222.027  r NULL   3.272e+01   3.693e+00  
OBS:  56222.035  i NULL   3.939e+01   4.993e+00  
OBS:  56228.012  z NULL   3.813e+01   5.597e+00  
OBS:  56229.012  g NULL  -5.498e+00   9.823e+00  
OBS:  56229.016  r NULL   3.344e+01   4.386e+00  
OBS:  56229.023  i NULL   3.519e+01   7.851e+00  
OBS:  56230.012  z NULL   4.615e+01   4.997e+00  
OBS:  56231.012  g NULL   1.156e+01   6.924e+00  
OBS:  56231.020  r NULL   3.180e+01   2.876e+00  
OBS:  56231.027  i NULL   3.714e+01   4.148e+00  
OBS:  56235.020  z NULL   4.100e+01   5.747e+00  
OBS:  56236.027  g NULL  -4.577e-01   5.178e+00  
OBS:  56236.035  r NULL   3.317e+01   5.441e+00  
OBS:  56236.039  i NULL   2.760e+01   7.650e+00  
OBS:  56237.023  z NULL   3.927e+01   5.182e+00  
OBS:  56238.023  g NULL   4.166e+00   3.620e+00  
OBS:  56238.031  r NULL   3.205e+01   2.874e+00  
OBS:  56238.039  i NULL   3.316e+01   4.864e+00  
OBS:  56243.070  z NULL   2.681e+01   5.373e+00  
OBS:  56244.047  g NULL  -1.883e+00   4.186e+00  
OBS:  56244.055  r NULL   2.453e+01   2.883e+00  
OBS:  56244.070  i NULL   3.413e+01   4.468e+00  
OBS:  56245.027  z NULL   3.775e+01   3.617e+00  
OBS:  56246.082  g NULL   2.893e+00   2.839e+00  
OBS:  56246.098  r NULL   2.669e+01   2.541e+00  
OBS:  56246.109  i NULL   2.868e+01   5.477e+00  
OBS:  56247.250  z NULL   2.961e+01   6.322e+00  
OBS:  56254.199  g NULL  -1.065e+00   6.131e+00  
OBS:  56254.211  r NULL   2.775e+01   3.430e+00  
OBS:  56254.227  i NULL   2.999e+01   6.246e+00  
OBS:  56258.191  z NULL   3.034e+01   5.894e+00  
OBS:  56261.066  g NULL   5.862e+00   6.916e+00  
OBS:  56261.082  r NULL   1.726e+01   4.092e+00  
OBS:  56261.090  i NULL   3.733e+01   8.258e+00  
OBS:  56266.156  z NULL   1.311e+01   5.292e+00  
OBS:  56276.152  g NULL   2.032e+00   4.037e+00  
OBS:  56276.172  r NULL   1.265e+01   2.906e+00  
OBS:  56277.164  i NULL   2.437e+01   3.585e+00  
OBS:  56278.164  z NULL   2.583e+01   4.316e+00  
